date,depression,anxiety,therapy,burnout,mental health,panic attack,stress,counseling,psychiatrist,antidepressants,depression_ma4,depression_std4,depression_ma12,depression_std12,depression_ma26,depression_std26,anxiety_ma4,anxiety_std4,anxiety_ma12,anxiety_std12,anxiety_ma26,anxiety_std26,therapy_ma4,therapy_std4,therapy_ma12,therapy_std12,therapy_ma26,therapy_std26,burnout_ma4,burnout_std4,burnout_ma12,burnout_std12,burnout_ma26,burnout_std26,mental health_ma4,mental health_std4,mental health_ma12,mental health_std12,mental health_ma26,mental health_std26,panic attack_ma4,panic attack_std4,panic attack_ma12,panic attack_std12,panic attack_ma26,panic attack_std26,stress_ma4,stress_std4,stress_ma12,stress_std12,stress_ma26,stress_std26,counseling_ma4,counseling_std4,counseling_ma12,counseling_std12,counseling_ma26,counseling_std26,psychiatrist_ma4,psychiatrist_std4,psychiatrist_ma12,psychiatrist_std12,psychiatrist_ma26,psychiatrist_std26,antidepressants_ma4,antidepressants_std4,antidepressants_ma12,antidepressants_std12,antidepressants_ma26,antidepressants_std26
2021-02-28,25.0,29.0,44.0,3,16.0,5,69.0,20.0,11.0,4,24.5,0.5773502691896247,23.166666666666668,1.5275252316519456,,,28.0,1.1547005383792521,27.666666666666668,1.556997888323047,,,41.25,2.06155281280883,39.666666666666664,3.1430539096216434,,,3.0,0.0,2.9166666666666665,0.288675134594813,,,16.0,0.8164965809277259,14.75,2.179449471770337,,,5.0,0.0,4.916666666666667,0.2886751345948129,,,67.25,1.2583057392117973,63.083333333333336,6.022055422789757,,,20.0,0.8164965809277263,18.5,2.7468990781342053,,,10.5,0.5773502691896248,9.583333333333334,1.164500152881315,,,4.0,0.0,3.75,0.4522670168666455,,
2021-03-07,24.0,29.0,42.0,3,17.0,5,68.0,19.0,10.0,4,24.5,0.5773502691896247,23.333333333333332,1.4974726182552516,,,28.5,1.0000000000000009,27.833333333333332,1.585922922197519,,,41.5,2.081665999466132,39.833333333333336,3.2145502536643216,,,3.0,0.0,2.9166666666666665,0.288675134594813,,,16.25,0.957427107756338,15.0,2.2563042992710654,,,5.0,0.0,4.916666666666667,0.2886751345948129,,,67.5,1.2909944487358116,63.5,6.186495556672393,,,19.75,0.9574271077563382,18.583333333333332,2.745519766433815,,,10.5,0.5773502691896248,9.666666666666666,1.1547005383792517,,,4.0,0.0,3.8333333333333335,0.38924947208076155,,
2021-03-14,23.0,28.0,45.0,3,16.0,5,68.0,19.0,10.0,4,24.25,0.9574271077563377,23.583333333333332,1.0836246694508291,,,28.75,0.500000000000002,28.166666666666668,1.0298573010888752,,,43.0,1.825741858350552,40.916666666666664,2.4293034292807474,,,3.0,0.0,2.9166666666666665,0.288675134594813,,,16.5,0.5773502691896253,15.333333333333334,2.0597146021777495,,,5.0,0.0,5.0,0.0,,,68.0,0.8164965809277355,64.91666666666667,4.8702871547473405,,,19.75,0.9574271077563382,19.166666666666668,1.8006732747570398,,,10.5,0.5773502691896248,9.916666666666666,0.7929614610987588,,,4.0,0.0,3.9166666666666665,0.2886751345948129,,
2021-03-21,24.0,29.0,41.0,3,16.0,5,72.0,20.0,10.0,4,24.0,0.8164965809277255,23.833333333333332,0.7177405625652686,,,28.75,0.500000000000002,28.416666666666668,0.7929614610987599,,,43.0,1.825741858350552,41.333333333333336,1.8748737331221994,,,3.0,0.0,3.0,0.0,,,16.25,0.4999999999999991,15.833333333333334,1.1934162828797115,,,5.0,0.0,5.0,0.0,,,69.25,1.892969448600097,66.66666666666667,2.7080128015453124,,,19.5,0.5773502691896257,19.666666666666668,0.778498944161522,,,10.25,0.4999999999999991,10.083333333333334,0.5149286505444365,,,4.0,0.0,4.0,0.0,,
2021-03-28,23.0,29.0,43.0,3,15.0,5,67.0,20.0,10.0,4,23.5,0.5773502691896255,23.833333333333332,0.7177405625652686,,,28.75,0.500000000000002,28.5,0.7977240352174662,,,42.75,1.7078251276599312,41.666666666666664,1.7752507291972075,,,3.0,0.0,3.0,0.0,,,16.0,0.8164965809277254,16.0,0.852802865422444,,,5.0,0.0,5.0,0.0,,,68.75,2.217355782608349,67.16666666666667,2.0375267241229267,,,19.5,0.5773502691896257,19.583333333333332,0.6685579234215204,,,10.0,0.0,10.083333333333334,0.5149286505444365,,,4.0,0.0,4.0,0.0,,
2021-04-04,23.0,29.0,43.0,3,16.0,5,68.0,20.0,11.0,4,23.25,0.4999999999999994,23.75,0.7537783614444047,,,28.75,0.500000000000002,28.583333333333332,0.7929614610987591,,,43.0,1.63299316185545,41.916666666666664,1.7298624923456527,,,3.0,0.0,3.0,0.0,,,15.75,0.49999999999999867,16.083333333333332,0.7929614610987615,,,5.0,0.0,5.0,0.0,,,68.75,2.217355782608349,67.5,1.783765170031676,,,19.75,0.49999999999999967,19.666666666666668,0.6513389472789282,,,10.25,0.4999999999999991,10.166666666666666,0.577350269189625,,,4.0,0.0,4.0,0.0,,
2021-04-11,22.0,28.0,41.0,3,16.0,5,67.0,20.0,11.0,4,23.0,0.8164965809277255,23.666666666666668,0.8876253645985905,,,28.75,0.500000000000002,28.5,0.7977240352174662,,,42.0,1.1547005383792497,42.0,1.6514456476895627,,,3.0,0.0,3.0,0.0,,,15.75,0.49999999999999867,16.166666666666668,0.7177405625652763,,,5.0,0.0,5.0,0.0,,,68.5,2.3804761428476207,67.66666666666667,1.614329769923282,,,20.0,0.0,19.75,0.6215815605080587,,,10.5,0.5773502691896248,10.25,0.62158156050806,,,4.0,0.0,4.0,0.0,,
2021-04-18,24.0,30.0,47.0,3,17.0,5,72.0,20.0,11.0,4,23.0,0.8164965809277255,23.666666666666668,0.8876253645985905,,,29.0,0.8164965809277271,28.583333333333332,0.9003366373785202,,,43.5,2.516611478423582,42.333333333333336,2.1881222058831344,,,3.0,0.0,3.0,0.0,,,16.0,0.8164965809277254,16.166666666666668,0.7177405625652763,,,5.0,0.0,5.0,0.0,,,68.5,2.3804761428476207,68.16666666666667,1.946247360403793,,,20.0,0.0,19.75,0.6215815605080587,,,10.75,0.4999999999999991,10.416666666666666,0.5149286505444356,,,4.0,0.0,4.0,0.0,,
2021-04-25,24.0,28.0,45.0,3,18.0,5,70.0,20.0,10.0,4,23.25,0.9574271077563377,23.75,0.8660254037844348,,,28.75,0.957427107756339,28.5,0.9045340337332912,,,44.0,2.5819888974716103,42.666666666666664,2.2696949467968714,,,3.0,0.0,3.0,0.0,,,16.75,0.957427107756338,16.25,0.866025403784441,,,5.0,0.0,5.0,0.0,,,69.25,2.217355782608349,68.41666666666667,1.9752253419585046,,,20.0,0.0,19.833333333333332,0.577350269189622,,,10.75,0.4999999999999991,10.416666666666666,0.5149286505444356,,,4.0,0.0,4.0,0.0,,
2021-05-02,23.0,29.0,48.0,3,20.0,5,70.0,20.0,10.0,4,23.25,0.9574271077563377,23.666666666666668,0.8876253645985905,,,28.75,0.957427107756339,28.666666666666668,0.7784989441615233,,,45.25,3.09569593683445,43.25,2.6671401094874065,,,3.0,0.0,3.0,0.0,,,17.75,1.707825127659933,16.583333333333332,1.3789543689024502,,,5.0,0.0,5.0,0.0,,,69.75,2.0615528128088343,68.66666666666667,1.9694638556693083,,,20.0,0.0,19.833333333333332,0.577350269189622,,,10.5,0.5773502691896248,10.416666666666666,0.5149286505444356,,,4.0,0.0,4.0,0.0,,
2021-05-09,24.0,29.0,47.0,3,22.0,5,65.0,20.0,10.0,4,23.75,0.4999999999999985,23.666666666666668,0.8876253645985905,,,29.0,0.8164965809277271,28.833333333333332,0.5773502691896258,,,46.75,1.2583057392117896,43.916666666666664,2.503028468705795,,,3.0,0.0,3.0,0.0,,,19.25,2.217355782608345,17.166666666666668,1.992409839791244,,,5.0,0.0,5.0,0.0,,,69.25,2.986078811194823,68.58333333333333,2.1087839379532554,,,20.0,0.0,19.916666666666668,0.5149286505444313,,,10.25,0.4999999999999991,10.416666666666666,0.5149286505444356,,,4.0,0.0,4.0,0.0,,
2021-05-16,23.0,28.0,45.0,3,18.0,5,69.0,19.0,10.0,4,23.5,0.5773502691896247,23.5,0.7977240352174606,,,28.5,0.5773502691896278,28.75,0.6215815605080612,,,46.25,1.4999999999999978,44.25,2.3403573930647656,,,3.0,0.0,3.0,0.0,,,19.5,1.9148542155126764,17.25,2.0056737702645644,,,5.0,0.0,5.0,0.0,,,68.5,2.3804761428476198,68.75,2.0504988306617964,,,19.75,0.49999999999999967,19.75,0.4522670168666432,,,10.0,0.0,10.333333333333334,0.4923659639173294,,,4.0,0.0,4.0,0.0,,
2021-05-23,22.0,29.0,44.0,3,17.0,5,68.0,19.0,10.0,4,23.0,0.8164965809277249,23.25,0.7537783614444024,,,28.75,0.500000000000002,28.75,0.6215815605080612,,,46.0,1.8257418583505518,44.25,2.3403573930647656,,,3.0,0.0,3.0,0.0,,,19.25,2.217355782608345,17.333333333333332,1.9694638556693236,,,5.0,0.0,5.0,0.0,,,68.0,2.1602468994692905,68.66666666666667,2.0597146021777344,,,19.5,0.5773502691896257,19.666666666666668,0.4923659639173306,,,10.0,0.0,10.25,0.4522670168666439,,,4.0,0.0,4.0,0.0,,
2021-05-30,21.0,27.0,41.0,3,15.0,5,66.0,19.0,10.0,4,22.5,1.290994448735805,23.0,0.9534625892455859,23.192307692307693,1.2655190482716805,28.25,0.9574271077563394,28.583333333333332,0.7929614610987591,28.115384615384617,1.2752073737842984,44.25,2.4999999999999996,44.166666666666664,2.443296332763823,41.92307692307692,3.440035777989259,3.0,0.0,3.0,0.0,2.9615384615384617,0.19611613513818407,18.0,2.9439202887759492,17.166666666666668,2.081665999466133,15.961538461538462,2.3406113599787433,5.0,0.0,5.0,0.0,4.961538461538462,0.19611613513818404,67.0,1.8257418583505567,68.5,2.1950357213908296,66.03846153846153,5.094944704161324,19.25,0.49999999999999967,19.666666666666668,0.4923659639173306,19.115384615384617,1.9458041643890698,10.0,0.0,10.25,0.4522670168666439,9.923076923076923,0.8909804452658623,4.0,0.0,4.0,0.0,3.8846153846153846,0.32581259360842113
2021-06-06,22.0,28.0,44.0,3,15.0,5,64.0,19.0,11.0,3,22.0,0.8164965809277249,22.916666666666668,0.9962049198956154,23.076923076923077,1.2303845552696737,28.0,0.8164965809277276,28.583333333333332,0.7929614610987591,28.153846153846153,1.2551432648843783,43.5,1.7320508075688772,44.083333333333336,2.4293034292807723,42.0,3.4641016151377566,3.0,0.0,3.0,0.0,2.9615384615384617,0.19611613513818407,16.25,1.500000000000001,17.083333333333332,2.151461800448216,15.961538461538462,2.3406113599787433,5.0,0.0,5.0,0.0,4.961538461538462,0.19611613513818404,66.75,2.217355782608348,68.16666666666667,2.5524794837865903,65.8076923076923,5.04396059278207,19.0,0.0,19.666666666666668,0.4923659639173306,19.076923076923077,1.9374844912530667,10.25,0.4999999999999991,10.333333333333334,0.4923659639173294,9.961538461538462,0.9156754547663374,3.75,0.5,3.9166666666666665,0.2886751345948128,3.8461538461538463,0.36794648440312
